BANC,FAFB,MAOL
720575941535511834,720575940628055239,92012
720575941595098838,720575940641085312,79257
720575941498906593,720575940615593044,60084
720575941595902577,720575940623211957,128792
720575941631229932,720575940621975254,80267
720575941650631665,720575940609366574,124539
720575941476998193,720575940607860098,120793
720575941631876037,720575940624469444,83906
720575941450625614,720575940622013940,150809
720575941459263647,720575940639337461,141273
720575941563160488,720575940617911041,94625
720575941477592350,720575940630659535,115058
720575941483830202,720575940611294426,156827
720575941503396331,720575940618046292,119053
720575941486560774,720575940623042842,90006
720575941548273288,720575940635427982,107953
720575941514575194,720575940620223659,138730
720575941390518788,720575940625977392,181103
720575941555674340,720575940619036539,68394
720575941545998216,720575940639811469,145828
720575941562031661,720575940608145026,153547
720575941536440808,720575940618999216,84827
720575941466164310,720575940630214564,35072
720575941529004164,720575940613144830,142693
720575941573590267,720575940637729370,96404
720575941559011620,720575940613606041,157837
720575941626118252,720575940628432400,138805
720575941497334907,720575940617260374,59514
720575941540504189,720575940624377323,101333
720575941477564977,720575940627312104,103303
720575941515799907,720575940609592674,65240
720575941438841919,720575940616397068,84723
720575941553755271,720575940628356102,123147
720575941470320861,720575940638681919,554639
720575941558282020,720575940634373471,93393
720575941529290116,720575940640641112,147321
720575941661250940,720575940630246905,51376
720575941732977451,720575940638792937,46317
720575941537976291,720575940605480806,80468
720575941481600847,720575940614808386,108961
720575941671579303,720575940627758744,93254
720575941671431335,720575940630589036,87593
720575941477820546,720575940625574844,83483
720575941609399782,720575940615400594,114433
720575941505562949,720575940623916071,133653
720575941538968469,720575940619550913,100031
720575941411205547,720575940607791573,73905
720575941434150432,720575940628436839,62627
720575941566729460,720575940633292113,108648
720575941531254731,720575940648313209,62397
720575941478712170,720575940625585182,112825
720575941538040306,720575940645995543,93836
720575941553711239,720575940614370610,99704
720575941504674583,720575940609032824,124035
720575941687911151,720575940629276495,169709
720575941513577721,720575940640357795,74250
720575941552194815,720575940620982437,146674
720575941642561106,720575940617499205,114084
720575941508277794,720575940613792296,75786
720575941513146371,720575940625146122,47953
720575941580155125,720575940608683477,141835
720575941412697199,720575940628453544,127573
720575941504228695,720575940626888250,46987
720575941668397489,720575940628960762,57894
720575941433595406,720575940654643873,529933
720575941590854028,720575940635503712,191681
720575941393748630,720575940621392660,97486
720575941440440661,720575940635430030,146489
720575941486679437,720575940634484581,124206
720575941528022950,720575940622628646,111423
720575941441879231,720575940621062861,96853
720575941554611610,720575940612360398,88765
720575941468955200,720575940636957006,54692
720575941624461564,720575940607461321,78108
720575941574287503,720575940640438643,110307
720575941458267632,720575940618521273,128156
720575941408691115,720575940622932905,102295
720575941678813629,720575940630133110,109923
720575941530935243,720575940611134833,63110
720575941703161306,720575940641977229,80089
720575941431663608,720575940614278696,87251
720575941607669101,720575940623538653,132045
720575941589280068,720575940635827051,85787
720575941658932816,720575940614350846,63661
720575941668463091,720575940622791412,172182
720575941600585001,720575940631898705,67501
720575941681236925,720575940635853931,122259
720575941526198274,720575940626085706,50564
720575941515887107,720575940640254552,105644
720575941567028839,720575940614435751,116414
720575941510651152,720575940615043368,122919
720575941598357404,720575940626811153,113581
720575941482071805,720575940621477312,69253
720575941457929200,720575940618850049,72437
720575941507070487,720575940628613223,136654
720575941475591995,720575940612264818,65476
720575941576787304,720575940624508563,130652
720575941505515685,720575940633337881,81198
720575941499159881,720575940634464352,73209
720575941447592468,720575940634966708,101416
720575941612041446,720575940632399208,20674
720575941576547176,720575940608335299,119953
720575941441677403,720575940613149849,96642
720575941632244716,720575940608468233,111481
720575941482795462,720575940623696152,126359
720575941553012251,720575940629102023,110229
720575941594540657,720575940627907358,83744
720575941530152907,720575940623592682,107358
720575941483536570,720575940627111752,57526
720575941569637626,720575940625886351,105501
720575941479241602,720575940609604875,143964
720575941563388584,720575940617448331,92513
720575941477577440,720575940628120402,38625
720575941613540572,720575940612374707,86021
720575941513841475,720575940619296365,73471
720575941563256978,720575940616064546,73166
720575941486575426,720575940629728811,63717
720575941632928965,720575940614660263,104527
720575941535859683,720575940616918843,93776
720575941413153647,720575940627488455,84098
720575941431421944,720575940609910795,103784
720575941545854388,720575940617187421,118323
720575941452243783,720575940631963991,43326
720575941580806777,720575940627268936,76467
720575941449642106,720575940618102969,32549
720575941503466917,720575940614236010,84771
720575941615425689,720575940630387322,136764
720575941573874427,720575940623637226,117821
720575941552708762,720575940622823719,104857
720575941558819620,720575940627097274,164918
720575941550383476,720575940624983054,105848
720575941408543150,720575940625051319,58659
720575941520584631,720575940625198887,117778
720575941688509403,720575940620116821,16761
720575941506461756,720575940629139834,128774
720575941620128895,720575940634065087,129281
720575941631786427,720575940634532066,34253
720575941535078371,720575940619315888,50134
720575941642900897,720575940629638262,148970
720575941426854228,720575940623343484,31351
720575941445324564,720575940619360576,34380
720575941351451184,720575940629414972,116969
720575941534861912,720575940631855663,32546
720575941457653488,720575940627854162,121989
720575941504155698,720575940619138373,98731
720575941626270316,720575940621294612,118786
720575941535724522,720575940609677065,75209
720575941642854245,720575940634015149,123338
720575941663687036,720575940621588980,115535
720575941615750553,720575940638159472,36246
720575941484359421,720575940615211195,532356
720575941480876707,720575940604609056,23265
720575941431311279,720575940623781611,124081
720575941534548250,720575940633027539,82548
720575941414536852,720575940613626521,130313
720575941556382756,720575940635406999,103627
